JW=  1    A=   87.09    NA=  1454    Q(I)=0.10/0.08/0.08/0.10/0.07/0.13/0.06/0.06/0.10/0.08/0.08/0.05/

      N        START     CLASS    INSTRM    PITCH      GLISS1    GLISS2    GLISS3        DURATION     DYNAM
    355       19.46       12       2       71.4          0.0       0.0       0.0          0.16         16
    356       19.48        2       1       40.5          0.0       0.0       0.0          0.48         33
    357       19.62        5       3       42.0        -32.0      16.0     -11.0          1.91         34
    358       19.68        2       1       45.8          0.0       0.0       0.0          0.25         30
    359       19.73        5       2       38.1         18.0      -8.0      -6.0          0.92         51
    360       19.75        4       2       32.9          0.0       0.0       0.0          0.28         12
    361       19.79        3       1       54.6          0.0       0.0       0.0          0.45         22
    362       19.79        6       8       83.5          0.0       0.0       0.0          0.97         24
    363       20.02        9       1       39.1          0.0       0.0       0.0          0.31         18
    364       20.04        1      10        0.0          0.0       0.0       0.0          1.73         38
    365       20.11        3       1       60.4          0.0       0.0       0.0          0.29         10
    366       20.12        1       2        0.0          0.0       0.0       0.0          0.93         40
    367       20.14        6       2       44.8          0.0       0.0       0.0          0.59         50
    368       20.22        5       2       36.0         47.0     -43.0     -16.0          0.31         54
    369       20.23        4       1       40.5          0.0       0.0       0.0          0.02         12
